label_image_filename,image_filename,annotation_image_filename,classes_array,num_classes,classes_integer,classes_present_integer,classes_present_array,pen_width,CRF_theta,CRF_mu,CRF_downsample_factor,Classifier_downsample_factor,prob_of_unary_potential,doodle_spatial_density,num_of_scales,CRS,acc_georef,epsg,year,month,day,hour,minute,second,XMin,XMax,YMin,YMax,LonMin,LonMax,LatMin,LatMax,ImageHeightPx,ImageWidthPx,ImageBands,px_size_m
labels/chunk1_20181215T183751_20181215T184316_T11SKT.TCI_RGB_site49_ID3_label.jpg,images/chunk1_20181215T183751_20181215T184316_T11SKT.TCI_RGB_site49_ID3.jpg,npz/chunk1_20181215T183751_20181215T184316_T11SKT.TCI_RGB_site49_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",4,1,16,2,2,0.9,0.436198680845335,3,"""WGS 84 / UTM zone 11N""",8,26911,2019,5,27,18,39,21,293320,297540,3779820,3784390,-119.241500489687,-119.196830199444,34.1388401736319,34.1808520551949,457,422,3,10
labels/chunk1_20181218T184801_20181218T185122_T11SKT.TCI_RGB_site49_ID3_label.jpg,images/chunk1_20181218T184801_20181218T185122_T11SKT.TCI_RGB_site49_ID3.jpg,npz/chunk1_20181218T184801_20181218T185122_T11SKT.TCI_RGB_site49_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",4,1,16,2,2,0.9,0.435046439628483,3,"""WGS 84 / UTM zone 11N""",8,26911,2019,5,27,18,39,21,266270,268540,3808070,3810150,-119.542278144165,-119.518170121315,34.3876588209268,34.4069091672305,208,227,3,10
labels/chunk1_20181223T184759_20181223T184801_T11SKU.TCI_RGB_site46_ID3_label.jpg,images/chunk1_20181223T184759_20181223T184801_T11SKU.TCI_RGB_site46_ID3.jpg,npz/chunk1_20181223T184759_20181223T184801_T11SKU.TCI_RGB_site46_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",4,1,16,2,2,0.9,0.411124147772316,3,"""WGS 84 / UTM zone 11N""",8,26911,2019,5,27,18,39,21,285150,289600,3793980,3797240,-119.333558188781,-119.286055035165,34.2647886296789,34.295076011432,326,445,3,10
labels/chunk1_20181225T183751_20181225T184325_T11SKU.TCI_RGB_site49_ID3_label.jpg,images/chunk1_20181225T183751_20181225T184325_T11SKU.TCI_RGB_site49_ID3.jpg,npz/chunk1_20181225T183751_20181225T184325_T11SKU.TCI_RGB_site49_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6, 7, 8","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata'",3,1,16,2,2,0.9,0.352925023556333,3,"""WGS 84 / UTM zone 11N""",8,26910,2019,5,31,19,9,19,426930,428640,5098890,5103360,-123.944339677403,-123.922912993101,46.0396827279567,46.0800890686338,447,171,3,10
labels/chunk1_20181228T184801_20181228T185119_T11SKU.TCI_RGB_site47_ID3_label.jpg,images/chunk1_20181228T184801_20181228T185119_T11SKU.TCI_RGB_site47_ID3.jpg,npz/chunk1_20181228T184801_20181228T185119_T11SKU.TCI_RGB_site47_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",5,1,16,2,2,0.9,0.360516211915502,3,"""WGS 84 / UTM zone 11N""",8,26910,2019,6,4,18,49,29,542670,543230,4179970,4181430,-122.515530740626,-122.509085794644,37.7660609613863,37.779193511569,146,56,3,10
labels/chunk1_20181230T183759_20181230T183754_T11SKU.TCI_RGB_site47_ID3_label.jpg,images/chunk1_20181230T183759_20181230T183754_T11SKU.TCI_RGB_site47_ID3.jpg,npz/chunk1_20181230T183759_20181230T183754_T11SKU.TCI_RGB_site47_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",4,1,16,2,2,0.9,0.333720200294894,3,"""WGS 84 / UTM zone 11N""",8,26910,2019,6,4,18,49,29,551420,552570,4122610,4125050,-122.42020128447,-122.407062430246,37.2486141232717,37.2705429842798,244,115,3,10
labels/chunk1_20181231T185801_20181231T190045_T10SEG.TCI_RGB_site25_ID3_label.jpg,images/chunk1_20181231T185801_20181231T190045_T10SEG.TCI_RGB_site25_ID3.jpg,npz/chunk1_20181231T185801_20181231T190045_T10SEG.TCI_RGB_site25_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface'",5,1,16,2,2,0.9,0.924891774891774,3,"""WGS 84 / UTM zone 10N""",8,26910,2019,6,9,18,49,21,606780,607680,4069120,4071660,-121.803647907038,-121.793207612215,36.7618373881341,36.7846280155145,254,90,3,10
labels/chunk1_20181231T185801_20181231T190045_T10SFF.TCI_RGB_site10_ID3_label.jpg,images/chunk1_20181231T185801_20181231T190045_T10SFF.TCI_RGB_site10_ID3.jpg,npz/chunk1_20181231T185801_20181231T190045_T10SFF.TCI_RGB_site10_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural'",5,1,16,2,2,0.9,0.861592300962379,3,"""WGS 84 / UTM zone 10N""",8,26910,2019,6,9,18,49,21,542670,543230,4179970,4181430,-122.515530740626,-122.509085794644,37.7660609613863,37.779193511569,146,56,3,10
labels/chunk1_20190101T191809_20190101T191808_T10TDS.TCI_RGB_site30_ID3_label.jpg,images/chunk1_20190101T191809_20190101T191808_T10TDS.TCI_RGB_site30_ID3.jpg,npz/chunk1_20190101T191809_20190101T191808_T10TDS.TCI_RGB_site30_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface'",5,1,16,2,2,0.9,0.568296338818726,3,"""WGS 84 / UTM zone 10N""",8,26910,2019,6,9,18,49,21,623560,624470,3994250,3996720,-121.627621098217,-121.617126311339,36.0850186425816,36.1071650047846,247,91,3,10
labels/chunk1_20190102T184759_20190102T184755_T11SKU.TCI_RGB_site47_ID3_label.jpg,images/chunk1_20190102T184759_20190102T184755_T11SKU.TCI_RGB_site47_ID3.jpg,npz/chunk1_20190102T184759_20190102T184755_T11SKU.TCI_RGB_site47_ID3.npz,"'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development', 'cloud', 'nodata', 'unusual', 'unknown'",11,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","0, 1, 2, 3, 4, 5, 6","'water', 'whitewater', 'sediment', 'other_natural_terrain', 'vegetated_surface', 'agricultural', 'development'",3,1,16,2,2,0.9,0.207050467890042,3,"""WGS 84 / UTM zone 11N""",8,26910,2019,6,9,18,49,21,605990,606740,4061600,4063950,-121.813540555562,-121.804818692805,36.6941490164255,36.7152454102582,235,75,3,10
